tName,link,lecname,lecture,content
SUM,https://www.wikidata.org/wiki/Q13570696,Knowledge Base Queries and Linked Open Data,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Base_Queries_and_Linked_Open_Data,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Base%20Queries%20and%20Linked%20Open%20Data.txt
GPT-2,https://www.wikidata.org/wiki/Q95726727,Intelligent Systems Introduction,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Systems_Introduction,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Systems%20Introduction.txt
Linux,https://www.wikidata.org/wiki/Q388,Lab Session #04,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_04,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#04.txt
Linux,https://www.wikidata.org/wiki/Q388,Lab Session #01,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_01,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#01.txt
Modifier,https://www.wikidata.org/wiki/Q5156843,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
Modifier,https://www.wikidata.org/wiki/Q5156843,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
TA,https://www.wikidata.org/wiki/Q2609672,Lab Session #05,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_05,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#05.txt
TA,https://www.wikidata.org/wiki/Q2609672,Lab Session #01,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_01,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#01.txt
TA,https://www.wikidata.org/wiki/Q5323385,Lab Session #05,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_05,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#05.txt
TA,https://www.wikidata.org/wiki/Q5323385,Lab Session #01,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_01,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#01.txt
quan,https://www.wikidata.org/wiki/Q1045852,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
quan,https://www.wikidata.org/wiki/Q1045852,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
